,txt,label
0,3 Killed By Suspected Cow Smugglers In Meghalaya,0
1,Man Sentenced To Death For Raping 9-Year-Old In Madhya Pradesh,0
2,"1 Dead, Over 100 Rescued From Chinchoti Waterfall After Rains Lash Mumbai",0
3,Public Works Department Asks Officials To Check Waterlogging During Rains,0
4,Will Return To Pakistan In 10 Days: Maryam Nawaz Sharif,0
5,"""Don't Approve"": Yashwant Sinha Slams Son Jayant For Garlanding Convicts",0
6,"""Zakir Naik Will Never Get Access To Bangladesh"": Sheikh Hasina's Aide",0
7,Dead Lizard In Delhi School's Mid-Day Meal Leaves 2 Girls Hospitalised,0
8,"BJP Lawmaker Blames Internet, Smartphones For Rise In Crimes Against Women",0
9,"Grand Alliance Of Opposition Parties Is Imaginary, Says BJP",0
10,Shiv Sena Attacks BJP Over Water-Logging In Nagpur After Heavy Rains,0
11,"AIADMK Says It Favours Proposal For Simultaneous Polls, But After 2021",0
12,Conditions 'Perfect' For Evacuation Of Thai Boys In Cave,0
13,"Mithun Chakraborty's Wife, Son Get Anticipatory Bail In Rape Case",0
14,No Record Of 280 Births At Missionaries of Charity's Ranchi Facility,0
15,No Record Of 280 Births At Missionaries of Charity's Ranchi Facility,0
16,"Class 4 Boy ""Mercilessly"" Beaten Up By Principal In UP's Gorakhpur",0
17,Centre Should Approach Court Over Confusion On Services: Arvind Kejriwal,0
18,"US Demand Of Irreversible Denuclearisation ""Troubling"", Says North Korea",0
19,"As China Tariff War Escalates, US Oil Sellers May Look To India",0
20,Rajasthan Woman Allegedly Burnt Alive By Husband And Father-In-Law,0
21,"Hardik Patel, Jignesh Mevani Charged Over 'Raid' At Woman's House",0
22,Standard Of Living Has Improved Since BJP Came To Power: Yogi Adityanath,0
23,Canadian Mountaineer Falls To Death On Mount K2,0
24,"Dawood Ibrahim Aide Naim Khan, Wife Arrested For AK-56 Rifle Possession",0
25,Will Nirbhaya Rapists Be Spared Death? Supreme Court To Decide On Monday,0
26,"5.9-Magnitude Earthquake Felt In Tokyo, No Tsunami Warning",0
27,Not Averse To Working With Congress To Oust BJP: Mamata Banerjee,0
28,"""Floating Bodies Drifting In The Sea"": Thai Boat Tragedy Leaves 37 Dead",0
29,CRPF Jawan Injured In Grenade Attack In Srinagar,0
30,"World Chocolate Day: From Currency To Snack, The Story Of Chocolate",0
31,US Using DNA Testing In Effort To Reunite Families It Separated,0
32,Congress Party's No-Trust Motion Against Raman Singh Government Defeated,0
33,"""Don't Call Off Marriages Over Trivial Issues"": Goa Governor To Students",0
